,Unnamed: 0,v,w,y,fc,RL
0,0,23.75027,90.43413000000001,150,1,1
1,1,22.513531,88.301537,200,1,2
2,2,23.70731,90.41548,200,0,2
3,3,22.301410999999998,70.822357,70,2,2
4,4,-32.34861,151.924576,1000,2,2
5,5,23.701442999999998,90.442194,180,1,4
6,6,23.697285,90.43181700000001,250,1,2
7,7,23.70731,90.41548,400,1,2
8,8,23.761226999999998,90.42076899999999,150,1,0
9,9,23.761226999999998,90.42076899999999,350,3,2
10,10,23.701442999999998,90.442194,150,1,1
11,11,23.7658,90.3584,250,2,2
12,12,23.737285999999997,90.37161,100,3,2
13,13,23.70731,90.41548,200,1,3
14,14,23.745173,90.386421,200,1,2
15,15,27.883743,79.912247,220,1,2
16,16,23.70731,90.41548,150,1,1
17,17,23.793993,90.404274,20,1,0
18,18,24.098379,90.328712,50,2,1
19,19,23.776604000000003,90.382988,120,1,3
20,20,23.734558,90.384998,200,3,0
21,21,23.722109,90.42621199999999,80,3,5
22,22,23.761226999999998,90.42076899999999,800,3,0
23,23,23.7382,90.4143,140,1,2
24,24,23.70731,90.41548,250,1,5
25,25,23.70731,90.41548,150,3,5
26,26,23.730534,90.446159,100,3,4
27,27,23.828959,90.375672,500,2,1
28,28,23.759815,90.391319,120,0,2
29,29,23.70731,90.41548,160,1,1
30,30,23.768518,90.425641,300,3,5
31,31,12.16007,7.87021,150,1,2
32,32,23.759815,90.391319,250,2,2
33,33,23.765844,90.35836,220,1,2
34,34,23.70731,90.41548,190,2,1
35,35,33.24981,74.26156,250,0,3
36,36,23.70731,90.41548,30,3,1
37,37,23.70731,90.41548,300,3,1
38,38,24.15966117,90.64846158,250,1,2
39,39,23.873751000000002,90.396454,400,1,5
40,40,23.743617,90.426681,160,1,1
41,41,46.09124,-67.755478,0,0,0
42,42,23.838115,90.36452,150,0,3
43,43,23.70731,90.41548,200,1,4
44,44,23.741067,90.36475300000001,235,1,2
45,45,23.77195,90.410318,300,1,5
46,46,23.7822038,90.4086827,250,4,5
47,47,23.742991,90.416032,200,3,4
48,48,23.781866,90.397428,200,1,2
49,49,23.75124,90.409029,400,3,1
50,50,23.70731,90.415482,300,0,2
51,51,23.772723000000003,90.407411,300,2,1
52,52,28.350179999999998,77.28774,200,1,5
53,53,23.743926000000002,90.387736,250,4,5
54,54,23.78286,90.395439,350,2,5
55,55,23.757242,90.412399,300,2,1
56,56,23.757243,90.412399,450,1,1
57,57,23.720856,90.384846,180,0,0
58,58,33.147984,73.75367,170,0,1
59,59,40.28236,-79.69305,150,1,3
60,60,23.757129100000004,90.36851879999999,300,2,5
61,61,23.757129100000004,90.36851879999999,0,2,0
62,62,23.70731,90.41548,300,2,2
63,63,22.513531,88.301537,200,2,4
64,64,23.738078,90.372485,300,1,5
65,65,23.758861,90.35858,180,1,2
66,66,23.838510999999997,90.224784,200,2,3
67,67,23.760223,90.41156099999999,90,1,2
68,68,23.70731,90.415482,200,1,2
69,69,23.814654,90.362371,200,1,2
70,70,23.7598,90.3913,200,2,5
71,71,23.729556,90.429214,200,1,0
72,72,23.761888,90.39084100000001,500,2,2
73,73,23.70731,90.415482,300,2,5
74,74,23.708022,90.417885,300,2,2
75,75,23.7676,90.4147,300,2,0
76,76,23.732597600000002,90.4025838,1500,2,1
77,77,23.756106699999997,90.38719609999998,200,1,0
78,78,23.790579,90.365308,150,1,2
79,79,23.738078,90.372485,200,1,2
80,80,23.693846,90.455336,400,1,2
81,81,23.7718,90.3631,200,1,2
82,82,23.70731,90.41548,150,0,0
83,83,23.744602,90.411456,220,2,1
84,84,23.721389399999996,90.42992790000001,250,4,2
85,85,23.722595000000002,90.429585,200,4,2
86,86,23.70731,90.41548,500,1,0
87,87,23.80708505,90.36861281,250,1,3
88,88,23.70731,90.415482,50,1,5
89,89,23.727835,90.37404599999999,300,1,2
90,90,23.7636971,90.37069059999999,120,1,2
91,91,23.70731,90.41548,150,3,1
92,92,23.70731,90.41548,180,1,5
93,93,23.7786,90.4156,200,2,2
94,94,23.7956,90.3537,150,2,2
95,95,23.758353,90.416229,60,2,1
96,96,23.797911,90.41439100000001,300,2,1
97,97,23.7382,90.4143,300,2,4
98,98,23.780232,90.40114799999999,600,2,2
99,99,23.746188,90.38987,160,3,2
100,100,23.751791,90.385936,180,1,2
101,101,23.80708505,90.36861281,100,1,5
102,102,26.78293,82.1501,250,3,5
